customer_id,monthly_data_gb,streaming_hours,hotspot_data_gb,monthly_voice_minutes,avg_minutes_per_call,monthly_sms,international_minutes,roaming_voice_minutes,roaming_data_gb,monthly_recharge,tenure_months
CUST00032,0.033996,0.039915,0.00953,0.116769,0.5641,0.083333,0.108941,0.179551,0.050227,0.106802,0.840298
CUST00033,0.01128,0.012953,0.002932,0.045852,0.074754,0.055556,0.041687,0.028774,0.004566,0.026757,0.35444
CUST00034,0.703109,0.572698,0.842344,0.296201,0.156922,0.805556,0.053274,0.339919,0.894957,0.897167,0.340667
CUST00035,0.142564,0.095538,0.156886,0.163687,0.219786,0.962963,0.087153,0.186265,0.157531,0.811404,0.78821
CUST00036,0.047156,0.036339,0.016862,0.639682,0.346033,0.592593,0.198738,0.358335,0.020547,0.459544,0.515834
CUST00037,0.080682,0.056209,0.037389,0.186501,0.273554,0.62963,0.270526,0.202762,0.100454,0.359599,0.426408
CUST00038,0.022716,0.029072,0.015395,0.024256,0.268858,0.074074,0.043828,0,0.035768,0.119464,0.093591
CUST00039,0.414847,0.433612,0.324035,0.070641,0.096719,0.435185,0.007808,0.113946,0.182644,0.692274,0.185787
CUST00040,0.168727,0.181932,0.049118,0.185006,0.662649,0.685185,0.054911,0.214656,0.133939,0.158422,0.70172
CUST00041,0.039166,0.051461,0.007331,0.034665,0.468434,0.074074,0.030604,0.016689,0.003805,0.065823,1
CUST00042,0.051073,0.066525,0.05645,0.362965,0.502048,0.675926,0.411582,0.242854,0.047944,0.351497,0.06352
CUST00043,0.067366,0.037688,0.090906,0.339426,0.380572,0.064815,0.439163,0.330136,0.025114,0.075641,0.831061
CUST00044,0.354218,0.384612,0.470657,0.333181,0.368184,1,0.282868,0.135622,0.401056,0.831756,0.178964
CUST00045,0.262099,0.189668,0.085041,0.097553,0.533666,0.574074,0.040931,0.06196,0.06697,0.288989,0.050197
CUST00046,0.338238,0.392876,0.093105,0.153524,0.175929,0.407407,0.095717,0.175523,0.156009,0.523769,0.116095
CUST00047,0.01833,0.016236,0.007331,0.360616,0.346662,0.537037,0.256168,0.355458,0,0.334862,0.402075
CUST00048,0.176717,0.13979,0.231663,0.168993,0,0.814815,0.243322,0.134663,0.00761,0.261212,0.813198
CUST00049,0.138648,0.111246,0.171548,0.281245,0.055007,0.648148,0.26914,0.112795,0.104259,0.259359,0.119747
CUST00050,0.035876,0.030302,0.021993,0,0.704916,0.092593,0.005038,0.000767,0.028158,0.085822,0.400319
CUST00051,0.350301,0.435429,0.46186,0.341006,0.495059,0.990741,0.184129,0.322655,0.065448,0.693735,0.930715
CUST00052,0.040419,0.03124,0.043254,0.45598,0.317596,0.444444,0.510951,0.593708,0.016742,0.597183,0.205984
CUST00053,0.502109,0.62117,0.651736,0.293628,0.138839,0.888889,0.066624,0.12066,0.001522,1,0.792952
CUST00054,0.164184,0.095948,0.085041,0.472334,0.334607,0.462963,0.403773,0.086898,0.093605,0.416016,0.542659
CUST00055,0.404037,0.265454,0.411275,0.126238,0.54402,0.444444,0.072039,0.042202,0.343219,0.505192,0.093803
CUST00056,0.147891,0.083405,0.159818,0.253638,0.166536,1,0.232995,0.268368,0.095127,0.866674,0.601232
CUST00057,0.117028,0.104212,0.146622,0.037889,0.416811,0.185185,0.016373,0.0493,0.149159,0.017792,0.892407
CUST00058,0.00893,0.008147,0.016128,0.109488,0.585437,0.12037,0.095843,0.043353,0.012937,0.045255,0.341877
CUST00059,0.008617,0.01014,0.002199,0.004581,0.442068,0.083333,0.012468,0.001918,0.005327,0.020941,0.21722
CUST00060,0.092432,0.11951,0.080642,0.370972,0.379351,0.703704,0.067254,0.519471,0.115675,0.312107,0.21649
CUST00061,0.068149,0.05955,0.015395,0.155873,0.318706,0.592593,0.041435,0.028007,0.053271,0.258329,0.81683
CUST00062,0.209147,0.249277,0.085774,0.155211,0.33028,0.583333,0.095717,0.230769,0.237438,0.23423,0.415498
CUST00063,0.022873,0.028134,0.021993,0.592571,0.117317,0.583333,0.780343,0.78074,0.023592,0.376704,0.186193
CUST00064,0.1916,0.244236,0.135626,0.11504,0.519577,0.722222,0.090679,0.16996,0.125568,0.136089,0.109107
CUST00065,0.143191,0.132287,0.109967,0.272918,0.141501,0.555556,0.042569,0.201228,0.085234,0.21889,0.209393
CUST00066,0.179067,0.112535,0.203072,0.188049,0.092615,0.509259,0.078085,0.015922,0.005327,0.314157,0.411192
CUST00067,0.013786,0.013891,0.013196,0.052706,0.266195,0.027778,0.002393,0.013044,0.012937,0.093649,0.284628
CUST00068,0.080525,0.056795,0.115098,0.167328,0.354538,0.444444,0.116371,0.207366,0.078385,0.519924,0.182617
CUST00069,0.033683,0.035753,0.027858,0.056966,0.03404,0.018519,0.077833,0.031652,0.054032,0.056417,0.155241
CUST00070,0.733032,0.578559,0.771233,0.228615,0.045318,0.833333,0.132492,0.270286,0.468026,0.609149,0.392395
CUST00071,0.044023,0.051989,0.063048,0.243059,0.303211,0.388889,0.350625,0.146557,0.035007,0.501327,0.623122
CUST00072,0.01551,0.009612,0.020527,0.020445,0.406013,0.027778,0.011209,0.011318,0.015981,0.095817,0.456879
CUST00073,0.031333,0.015942,0.007331,0.175099,0.291859,0.092593,0.131107,0.198542,0.021308,0.069266,0.26922
CUST00074,0.158387,0.174078,0.206737,0.879355,0.602965,0.435185,1,0.908306,0.137744,0.485418,0.362758
CUST00075,0.925729,0.645201,0.727246,0.09608,0.561363,0.342593,0.066246,0.137349,0.095127,0.453758,0.680423
CUST00076,0.745565,0.746541,0.972105,0.03095,0.374248,0.333333,0.025944,0.041435,0.534234,0.579911,0.242245
CUST00077,0.075355,0.100461,0.02126,0.603749,0.751177,0.62037,0.50289,0.351237,0.071536,0.566807,0.569863
CUST00078,0.035876,0.043021,0.041787,0.111154,0.560365,0.138889,0.164104,0.018607,0.0449,0,0.555074
CUST00079,0.092589,0.072034,0.027125,0.489244,0.700368,0.351852,0.621025,0.040092,0.060881,0.230729,0.337365
CUST00080,0.009243,0.013364,0.010997,0.223886,0.415554,0.138889,0.211332,0.078074,0.006088,0.015301,0.452327
CUST00081,0.157134,0.207838,0.059382,0.696262,0.642717,0.481481,0.688153,0.592941,0.000761,0.464733,0.47945
CUST00082,0.332285,0.34247,0.138558,0.113193,0.968208,0.601852,0.035768,0.159601,0.372138,0.463566,0.0198
CUST00083,0.193794,0.186093,0.260254,0.173904,0.271483,0.490741,0.113223,0.175139,0.02207,0.26032,0.54522
CUST00084,0.046686,0.036633,0.039588,0.093166,0.036517,0.064815,0.024811,0.08076,0.03729,0.077907,0.854311
CUST00085,0.141154,0.135042,0.185477,0.450311,0.227034,0.527778,0.101636,0.133129,0.064686,0.271825,0.257763
CUST00086,0.140841,0.080767,0.13196,0.047464,0.101601,0.518519,0.074936,0.084213,0.1796,0.200186,0.639168
CUST00087,0.398554,0.257834,0.104835,0.136284,0.51684,0.268519,0.192315,0.093996,0.560109,0.614426,0.196407
CUST00088,1,1,0.582823,0.050977,0.568796,0.398148,0.025063,0.036639,0.495422,0.58252,0.11188
CUST00089,0.078332,0.051989,0.1107,1,0.293708,0.453704,1,0.37042,0.109587,0.547642,0.170913
CUST00090,0.199903,0.195764,0.13196,0.353133,0.451609,0.444444,0.075692,0.470554,0.100454,0.192221,0.487966
CUST00091,0.02209,0.014594,0.01173,0.172612,0.486517,0.111111,0.109822,0.174755,0.032724,0.079035,0.000925
CUST00092,0.721752,0.657451,0.25219,0.088405,0.658286,0.333333,0.027204,0.015346,0.847013,0.578204,0.082823
CUST00093,0.196144,0.121972,0.070379,0.152468,0.671006,0.611111,0.1403,0.054096,0.192537,0.410386,0.931728
CUST00094,0.468113,0.491051,0.423738,0.076341,0.71405,0.481481,0.063979,0.014195,0.157531,0.564688,0.033185
CUST00095,0.065329,0.082526,0.05425,0.654425,0.477494,0.546296,0.51624,0.148859,0.013698,0.487831,0.206914
CUST00096,0.102145,0.090556,0.144423,0.104033,0.183325,0.564815,0.06612,0.032803,0.066209,0.281927,0.87763
CUST00097,0.053266,0.064356,0.02126,0.268082,0.184878,0.518519,0.090301,0.153846,0.012176,0.211465,0.358031
CUST00098,0.204133,0.262933,0.25439,0.240102,0.347143,0.611111,0.243448,0.076731,0.267117,0.293952,0.307002
CUST00099,0.02867,0.018346,0.026392,0.142273,0.485556,0.138889,0.132492,0.20353,0.008371,0,0.459293
CUST00100,0.029923,0.029072,0.041054,0.222584,0.467547,0,0.285387,0.255899,0.000761,0.070992,0.462455
CUST00101,0.035093,0.045014,0.043987,0.060008,0.472798,0.064815,0.078211,0.09649,0.032724,0.038507,0.111915
CUST00102,0.381477,0.370604,0.269052,0.169687,0.335272,0.407407,0.040806,0.05141,0.241243,0.50221,0.177321
CUST00103,0.052169,0.070745,0.054983,0.414335,0.412189,0.574074,0.487777,0.497602,0.072297,0.259143,0.772596
CUST00104,0.171547,0.212879,0.109234,0.249742,0.333017,0.509259,0.27783,0.157875,0.041095,0.253886,0.6113
CUST00105,0.161207,0.207252,0.078443,0.371783,0.079709,0.796296,0.043198,0.513908,0.087517,0.938126,0.054442
CUST00106,0.030863,0.040442,0.017595,0.02527,0.51048,0.157407,0.019647,0.01362,0.034246,0.034957,1
CUST00107,0.144444,0.102747,0.166416,0.268883,0.547015,0.555556,0.289543,0.247842,0.203953,0.209572,0.166636
CUST00108,0.145541,0.083815,0.078443,0.630747,0.540655,0.490741,0.657422,0.166507,0.057076,0.290186,0.039414
CUST00109,0.016136,0.00885,0.005865,0.033255,0.153778,0.027778,0.008816,0.000192,0.02207,0.037762,0.200215
CUST00110,0.01457,0.016822,0.017595,0.125651,0.33187,0.027778,0.09345,0.101861,0.003805,0.021794,0.25506
CUST00111,0.134105,0.166693,0.070379,0.253158,0.170789,0.472222,0.142442,0.03779,0.150681,0.220489,0.754492
CUST00112,0.034623,0.044487,0.014662,0.152436,0.160472,0.12963,0.113601,0.090543,0.016742,0.068667,0.237306
CUST00113,0.217293,0.157139,0.134159,0.171972,0.147233,0.925926,0.023299,0.135239,0.078385,0.954732,0.381976
CUST00114,0.196144,0.129005,0.085041,0.565648,0.695302,0.694444,0.085641,0.577019,0.06697,0.456602,0.207269
CUST00115,0.777054,0.635237,0.357025,0.127103,0.581443,0.342593,0.095213,0.118742,0.422365,0.458103,0.533411
CUST00116,0.108255,0.094365,0.151021,0.272406,0.493284,0.398148,0.050125,0.391521,0.054032,0.44801,0.719507
CUST00117,0.311448,0.220616,0.224332,0.480693,0.293782,0.342593,0.505409,0.504508,0.283099,0.503446,0.24263
CUST00118,0.046999,0.04267,0.018328,0.042426,0.074532,0.027778,0.004786,0.034913,0.041856,0.066843,0.201844
CUST00119,0.116558,0.1419,0.082842,0.543774,0.708836,0.490741,0.47808,0.142528,0.133178,0.365719,0.503269
CUST00120,0.245649,0.194592,0.336498,0.201596,0.254732,0.611111,0.156799,0.088049,0.107303,0.286684,0.591447
CUST00121,0.01269,0.017232,0.008797,0.271434,0.362452,0.481481,0.032115,0.090927,0.025875,0.565954,0.517527
CUST00122,0.107158,0.103333,0.142224,0.641604,0.504563,0.648148,0.530724,0.478228,0.089039,0.580813,0.181942
CUST00123,0.145541,0.082936,0.178146,0.084796,0.106297,0.694444,0.015491,0.132937,0.14992,0.279809,0.227932
CUST00124,0.083189,0.068693,0.111433,0.039009,0.630329,0.092593,0.006423,0.031843,0.089039,0.09361,0.398451
CUST00125,0.00987,0.005685,0.003666,0.082405,0.575785,0.194444,0.050629,0.028391,0.003044,0.059124,1
CUST00126,0.252229,0.285382,0.167149,0.295336,0.363266,0.638889,0.07544,0.171686,0.054032,0.28744,0.229556
CUST00127,0.320222,0.245291,0.376819,0.281608,0.65481,0.416667,0.27506,0.199693,0.219173,0.378332,0.389637
CUST00128,0.2057,0.129357,0.233862,0.211385,0.309757,0.648148,0.213977,0.072511,0.160575,0.430188,0.373819
CUST00129,0.058749,0.041966,0.051318,0.085981,0.355019,0.138889,0.090301,0.030309,0.025114,0.054279,0.776161
CUST00130,0.340901,0.44803,0.458194,0.051308,0.742968,0.611111,0.011335,0.006138,0.090561,0.189063,0.192929
CUST00131,0.167161,0.20989,0.049118,0.104076,0.381977,0.472222,0.111082,0.04201,0.126329,0.301328,0.320134
CUST00132,0.004857,0.003927,0.004399,0.145465,0.044061,0.138889,0.091435,0.121044,0.009893,0.089784,0.648418
CUST00133,0.019583,0.009788,0.016128,0.037771,0.561511,0.12963,0.024811,0.00633,0.00761,0.065646,0.358794
CUST00134,0.048253,0.036398,0.033723,0.139091,0.243342,0.731481,0.160451,0.148283,0.016742,0.350771,0.27927
CUST00135,0.347168,0.202094,0.249991,0.433423,0.231361,0.851852,0.596466,0.425667,0.490856,0.722022,0.040302
CUST00136,0.133478,0.138031,0.067446,0.088383,0.414334,0.509259,0.062216,0.022252,0.146876,0.369946,0.723054
CUST00137,0.031803,0.021335,0.033723,0.109392,0.401354,0.481481,0.095717,0.092461,0.001522,0.332126,0.380743
CUST00138,0.81528,0.479446,0.365089,0.084551,0.527379,0.435185,0.120905,0.001151,1,0.412161,0.25838
CUST00139,0.102302,0.085808,0.062314,0.253585,0.142389,0.611111,0.219015,0.105505,0.000761,0.186817,0.334622
CUST00140,0.486599,0.453423,0.319636,0.361887,0.319556,1,0.359441,0.33263,0.189493,0.744571,0.641648
CUST00141,0.410147,0.430681,0.524174,0.42959,0.296259,0.842593,0.271029,0.281028,0.555543,0.8551,0.437058
CUST00142,0.281682,0.20016,0.368022,0.154144,0.486961,0.592593,0.043576,0.066756,0.032724,0.275415,0.502317
CUST00143,0.041516,0.051286,0.008797,0.145881,0.72115,0.546296,0.029093,0.02417,0.058598,0.214869,0.812655
CUST00144,0.103868,0.103567,0.046919,0.132761,0.4478,0.638889,0.071662,0.013428,0.022831,0.228551,0.116289
CUST00145,0.137551,0.093076,0.039588,0.344646,0.251293,0.546296,0.423798,0.432572,0.036529,0.255416,0.711157
CUST00146,0.015666,0.02239,0.018328,0.189607,0.253511,0.111111,0.267629,0.165164,0.024353,0.088725,0.374947
CUST00147,0.466859,0.336785,0.551299,0.065068,0.15718,0.518519,0.048362,0.016305,0.616424,0.487047,0.528211
CUST00148,0.152434,0.161535,0.14369,0.151603,0.183066,0.425926,0.019773,0.084213,0.105781,0.131067,0.076805
CUST00149,0.050133,0.063887,0.030791,0.087273,0.391555,0.074074,0.119646,0.122195,0.002283,0.11456,0.234874
CUST00150,0.067836,0.066407,0.063781,0.133519,0,0.592593,0.086271,0.063687,0.033485,0.196468,0.337373
CUST00151,0.2057,0.124844,0.237528,0.195714,0.285387,0.861111,0.121787,0.218109,0.003805,0.787492,0.007234
CUST00152,0.044179,0.034347,0.024926,0.050027,0.67463,0.083333,0.018891,0.036447,0.025114,0.054151,0.013254
CUST00153,0.061256,0.048238,0.036656,0.064556,0.71564,0.083333,0.032871,0.06292,0.063925,0.096248,0.375577
CUST00154,0.03149,0.021628,0.010997,0.202706,0.356055,0.472222,0.171031,0.060234,0.013698,0.187298,0
CUST00155,0.296565,0.238961,0.357758,0.157987,0.26357,0.972222,0.032871,0.040284,0.286904,0.866566,0.010189
CUST00156,0.009243,0.005744,0.016862,0.066349,0.321849,0.092593,0.013476,0.045655,0.020547,0.035055,0.796417
CUST00157,0.327428,0.289836,0.280781,0.033715,1,0.5,0.054407,0.015154,0.226022,0.466292,0.169501
CUST00158,0.117341,0.10093,0.04472,0.12168,0.515842,0.462963,0.030856,0.006714,0.036529,0.423862,0.509184
CUST00159,0.035719,0.045483,0.00953,0.073907,1,0.12963,0.038413,0.04201,0.055554,0.062871,0.304959
CUST00160,0.118281,0.083346,0.157619,0.012022,0.191867,0.37037,0.016876,0.003837,0.171229,0.643909,0.56383
CUST00161,0.075982,0.056561,0.093838,0.047251,0.551933,0.648148,0.03199,0.023019,0.01522,0.282467,0.263649
CUST00162,0.581067,0.341415,0.158352,0.113801,0.597751,0.509259,0.062846,0.13428,0.769389,0.567111,0.541825
CUST00163,0.712979,0.500488,0.880466,0.157699,0.386784,0.333333,0.188033,0.128141,0.305168,0.645616,0.246344
CUST00164,0.091335,0.107201,0.041787,0.21146,0.234393,0.555556,0.033879,0.244005,0.017503,0.175361,0.552973
CUST00165,0.01974,0.019049,0.010264,0.056474,0.458783,0.074074,0.028715,0.050067,0.003805,0.047119,0.190686
CUST00166,0.072536,0.066232,0.070379,0.565883,0.327765,0.472222,0.172542,0.292346,0.086756,0.497286,1
CUST00167,0.066112,0.049644,0.041054,0.183661,0.448281,0.583333,0.037153,0.08076,0.008371,0.26082,0.060457
CUST00168,0.038226,0.019635,0.048385,0.070054,0.581554,0.12037,0.011461,0.070017,0.048705,0.126869,0.281197
CUST00169,0.006423,0.004572,0.003666,0.004496,1,0.111111,0.003778,0.023403,0.003805,0.027218,0.513241
CUST00170,0.187527,0.178122,0.071845,0.014723,0.215571,0.305556,0.03073,0.025513,0.117197,0.565807,0.151867
CUST00171,0.44148,0.459108,0.446465,0.0123,0.266121,0.481481,0.005667,0.019375,0.092844,0.476228,0.16601
CUST00172,0.01504,0.008675,0.021993,0.095461,0.319556,0.074074,0.137782,0.11644,0.019786,0.094591,0.43188
CUST00173,0.086479,0.103157,0.106301,0.144653,0.474277,0.564815,0.14685,0.063879,0.060881,0.294649,0.279488
CUST00174,0.010966,0.00844,0.01173,0.050699,0.470468,0,0.016121,0.028199,0.009132,0.12477,0.348573
CUST00175,0.289045,0.226594,0.16495,0.022335,0.238609,0.324074,0.043954,0.040092,0.345502,0.639967,0.301235
CUST00176,0.039636,0.042259,0.043987,0.234529,0.515361,0.064815,0.134003,0.159793,0.02968,0.105644,0.52083
CUST00177,1,1,1,0.059677,0.731283,0.481481,0.030478,0.061769,1,0.618359,0.309588
CUST00178,0.057809,0.037277,0.02126,0.341465,0.445581,0.768519,0.083626,0.508345,0.072297,0.325496,0.326947
CUST00179,0.2151,0.215282,0.162751,0.15709,0.284093,0.87037,0.090553,0.054671,0.197865,0.807687,0.124206
CUST00180,0.017703,0.020104,0.010264,0.093208,0.602373,0.203704,0.034508,0.017456,0.032724,0.086234,0.521282
CUST00181,0.129561,0.078892,0.136359,0.280668,0.389373,0.694444,0.400877,0.273547,0.108065,0.320395,1
CUST00182,0.0141,0.014477,0.002932,0.083558,0.409785,0,0.094583,0.039517,0.006088,0.074592,0.132037
CUST00183,0.637467,0.553883,0.600418,0.176338,0.647303,0.833333,0.153273,0.165164,0.507599,0.813964,0.05046
CUST00184,0.080055,0.045659,0.101169,0.632562,0.210431,0.546296,0.122543,0.801842,0.02968,0.604814,0.297097
CUST00185,0.19301,0.232104,0.085041,0.14349,0.230436,0.444444,0.191685,0.211778,0.023592,0.222392,0.01544
CUST00186,0.511822,0.666301,0.153953,0.066616,0.007304,0.537037,0.039672,0.040859,0.570002,0.46796,0.227274
CUST00187,0.062352,0.06248,0.047652,0.650774,0.678365,0.62037,0.136648,0.699022,0.025875,0.320523,0.055192
CUST00188,0.663943,0.442638,0.28518,0.036565,0.499793,0.481481,0.062342,0.031076,0.305929,0.503407,0.121345
CUST00189,0.104652,0.069866,0.054983,0.16009,0.482265,0.722222,0.106926,0.00422,0.159053,0.241969,0.719023
CUST00190,0.047939,0.039153,0.032257,0.106595,0.545758,0.111111,0.146472,0.098983,0.031202,0.097219,0.749558
CUST00191,0.069089,0.081353,0.043254,0,0,0.12037,0,0,0.047944,0.073003,0.931056
CUST00192,0.020993,0.018228,0.008064,0.583636,0.369626,0.518519,0.556542,0.223863,0.035768,0.550123,0.745924
CUST00193,0.396204,0.33233,0.480921,0.261997,0.12401,0.703704,0.264606,0.343564,0.462699,0.763589,0.154698
CUST00194,0.811364,0.641508,0.697922,0.031804,0.458154,0.314815,0.002897,0.061385,1,0.552016,0.609936
CUST00195,0.081779,0.104681,0.109967,0.081626,0.24789,0.564815,0.107681,0.080951,0.059359,0.408797,1
CUST00196,0.20194,0.182987,0.284447,0.047251,0.841554,0.712963,0.031738,0.018799,0.063925,0.269128,0.353666
CUST00197,0.486129,0.519185,0.233129,0.189543,0.594016,0.472222,0.143449,0.135814,0.046422,0.517609,0.671631
CUST00198,0.166064,0.208131,0.096038,0.445763,0.596271,0.675926,0.577952,0.141761,0.019025,0.313755,0.505218
CUST00199,0.094938,0.064708,0.060115,0.233056,0.804316,0.583333,0.111963,0.273739,0.019786,0.335863,0.546039
CUST00200,0.061099,0.048531,0.024193,0.65119,0.495984,0.583333,0.148865,0.046998,0.025875,0.573418,0.61952
CUST00201,0.482526,0.480794,0.377552,0.10272,0.593683,0.481481,0.033501,0.050259,0.55326,0.506781,0.308031
CUST00202,0.021463,0.020749,0.003666,0.142646,0.374063,0.185185,0.108059,0.116248,0.008371,0.057045,0.3938
CUST00203,0.019896,0.013832,0.010264,0.221569,0.298478,0.074074,0.031234,0.207558,0.01522,0.105801,0.983532
CUST00204,0.164967,0.202504,0.102636,0.578597,0.796699,0.546296,0.099999,0.461347,0.113392,0.522562,0.195757
CUST00205,0.556158,0.578794,0.688391,0.029476,0.547496,0.398148,0.03073,0.044888,0.253419,0.550574,0.47166
CUST00206,0.015823,0.018463,0.008064,0.023573,1,0.092593,0.044332,0.008249,0.004566,0.070668,0.664973
CUST00207,0.00376,0.006565,0,0.026348,0.439295,0.046296,0.031108,0.023595,0.003044,0.009906,0.351632
CUST00208,0.791311,0.713074,0.771233,0.023263,0.467029,0.444444,0.037153,0.034337,0.990084,0.344612,0
CUST00209,0.006267,0.007502,0,0.030031,0.278583,0.083333,0.030226,0.053328,0.017503,0.096817,0.51598
CUST00210,0.01269,0.012309,0.007331,0.068997,0.570127,0.074074,0.01801,0,0.009132,0.038919,0.295837
CUST00211,0.055616,0.034464,0.033723,0.182337,0.309424,0.509259,0.205035,0.048724,0.041095,0.357559,0.478474
CUST00212,0.316305,0.416849,0.33943,0.076469,0.039106,0.351852,0.105792,0.082486,0.15677,0.62698,0.102549
CUST00213,0.325078,0.192365,0.149555,0.117324,0.503528,0.601852,0.166623,0.11433,0.175795,0.450737,0.074261
CUST00214,0.013473,0.017877,0.019061,0.100639,0.307612,0.12963,0.1403,0.054096,0.019025,0,0.903575
CUST00215,1,1,1,0.197902,0.312715,0.398148,0.264228,0.194514,1,0.566375,0.558553
CUST00216,0.057339,0.047534,0.022726,0.041283,0.119942,0.111111,0.042947,0.031843,0.028919,0.056495,0.029445
CUST00217,0.440696,0.366618,0.494117,0.326733,0.268451,0.648148,0.268636,0.428736,0.093605,0.266499,0.486916
CUST00218,0.402627,0.321545,0.394414,0.268306,0.295815,0.407407,0.171912,0.15001,0.420843,0.607717,0.683651
CUST00219,0.157917,0.154794,0.158352,0.143351,0.138025,0.37963,0.067254,0.159026,0.104259,0.428835,0.164007
CUST00220,0.054519,0.07051,0.037389,0.530323,0.355167,0.555556,0.384378,0.463649,0.080668,0.31607,0.910034
CUST00221,0.825777,1,0.403211,0.079757,0.288974,0.527778,0.047984,0.068674,0.495422,0.539825,0.107906
CUST00222,0.61757,0.739097,0.28518,0.107247,0.197081,0.537037,0.020403,0.16996,0.024353,0.427285,0.254111
CUST00223,0.00987,0.009085,0.002199,0.022847,0.568722,0.055556,0.011209,0.050067,0.015981,0.047374,0.705205
CUST00224,0.175151,0.156025,0.115098,0.219242,0.597048,0.722222,0.079596,0.000767,0.259507,0.313902,0.371908
CUST00225,0.098228,0.124433,0.117298,0.186394,0.283501,0.592593,0.105414,0.042202,0.070014,0.285861,0.474017
CUST00226,0.030706,0.026668,0.021993,0.035028,0.237019,0.166667,0.012468,0,0.050227,0.024128,0.185049
CUST00227,0.1869,0.220909,0.107034,0.160869,0.142685,0.925926,0.113852,0.230002,0.0449,0.79168,0.220915
CUST00228,0.169041,0.190606,0.190609,0.314381,0.167609,0.685185,0.295588,0.193363,0.053271,0.17183,0.244838
CUST00229,0.03055,0.039329,0.029324,0.736561,0.38475,0.509259,0.32317,0.197583,0.017503,0.408532,0.638257
